unit,group,time,outcome,post,treated
control_0,control,0,53.77894784125755,0,0
control_0,control,1,56.5158040477551,0,0
control_0,control,2,53.98761115537526,0,0
control_0,control,3,54.97381756080645,0,0
control_0,control,4,59.58669067560247,0,0
control_0,control,5,58.94930807277639,0,0
control_0,control,6,57.46166341248355,0,0
control_0,control,7,60.471905841408265,0,0
control_0,control,8,59.44612393849429,0,0
control_0,control,9,60.427673386861585,0,0
control_0,control,10,62.82923100701705,0,0
control_0,control,11,59.504919544452264,0,0
control_0,control,12,60.867817938624675,1,0
control_0,control,13,64.17925211505167,1,0
control_0,control,14,64.26433850274765,1,0
control_0,control,15,67.90466897848994,1,0
control_0,control,16,66.44629973213985,1,0
control_0,control,17,66.42391405039457,1,0
control_0,control,18,73.16599256079114,1,0
control_0,control,19,70.76931599185784,1,0
control_0,control,20,72.34209857208964,1,0
control_0,control,21,70.34371936016977,1,0
control_0,control,22,73.0906238534292,1,0
control_0,control,23,75.38740805178217,1,0
control_1,control,0,43.043754733050875,0,0
control_1,control,1,44.699214415136495,0,0
control_1,control,2,45.11675849209883,0,0
control_1,control,3,51.06229788741006,0,0
control_1,control,4,48.36831687075089,0,0
control_1,control,5,47.31745926414953,0,0
control_1,control,6,52.11554074810227,0,0
control_1,control,7,49.066333425788415,0,0
control_1,control,8,52.96331771757453,0,0
control_1,control,9,49.66382008164004,0,0
control_1,control,10,51.9643580334373,0,0
control_1,control,11,56.052022404806976,0,0
control_1,control,12,58.17280289489412,1,0
control_1,control,13,58.0761760991178,1,0
control_1,control,14,58.53971277379595,1,0
control_1,control,15,59.20637174922841,1,0
control_1,control,16,57.88910496150671,1,0
control_1,control,17,60.44403032728672,1,0
control_1,control,18,62.000011003991126,1,0
control_1,control,19,66.0731028001831,1,0
control_1,control,20,65.68366472871675,1,0
control_1,control,21,62.50791764068892,1,0
control_1,control,22,67.71973569203854,1,0
control_1,control,23,67.3389729942509,1,0
control_2,control,0,48.67738904346211,0,0
control_2,control,1,49.53911786558669,0,0
control_2,control,2,47.0592902097931,0,0
control_2,control,3,49.18046813342004,0,0
control_2,control,4,51.52258737681368,0,0
control_2,control,5,53.87231839713536,0,0
control_2,control,6,52.02404729608415,0,0
control_2,control,7,53.67224544733118,0,0
control_2,control,8,52.89206108153085,0,0
control_2,control,9,53.77348541026565,0,0
control_2,control,10,58.852117932099475,0,0
control_2,control,11,61.00071397333681,0,0
control_2,control,12,59.20538130191858,1,0
control_2,control,13,62.41763496974739,1,0
control_2,control,14,62.195008852942685,1,0
control_2,control,15,61.242664922521264,1,0
control_2,control,16,64.31686327163243,1,0
control_2,control,17,67.73131282243162,1,0
control_2,control,18,65.64475524016387,1,0
